ID	arms	fraction	distance 	treatment	coral	deployment date	collect date
HHW02106_m	HHW02	106_m	close	mono	pavona	7/13/20	9/27/23
HHW03106_m	HHW03	106_m	close	mono	acropora	7/13/20	9/21/23
HHW04106_m	HHW04	106_m	close	mono	acropora	7/13/20	9/21/23
HHW05106_m	HHW05	106_m	close	control	no	7/13/20	9/19/23
HHW06106_m	HHW06	106_m	close	mono	platygyra	7/13/20	9/25/23
HHW07106_m	HHW07	106_m	close	control	no	7/13/20	9/20/23
HHW08106_m	HHW08	106_m	close	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW10106_m	HHW10	106_m	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW11106_m	HHW11	106_m	middle	control	no	7/13/20	9/20/23
HHW13106_m	HHW13	106_m	middle	mono	platygyra	7/13/20	9/25/23
HHW14106_m	HHW14	106_m	middle	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW15106_m	HHW15	106_m	middle	poly	acroporapavonaplatygyra	7/13/20	9/19/23
HHW16106_m	HHW16	106_m	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW18106_m	HHW18	106_m	far	mono	acropora	7/13/20	9/25/23
HHW19106_m	HHW19	106_m	far	mono	pavona	7/13/20	9/27/23
HHW21106_m	HHW21	106_m	far	mono	pavona	7/13/20	9/27/23
HHW23106_m	HHW23	106_m	far	mix	acroporaplatygyra	7/13/20	9/28/23
HHW24106_m	HHW24	106_m	far	mono	platygyra	7/13/20	9/26/23
HHW02500_m	HHW02	500_m	close	mono	pavona	7/13/20	9/27/23
HHW03500_m	HHW03	500_m	close	mono	acropora	7/13/20	9/21/23
HHW04500_m	HHW04	500_m	close	mono	acropora	7/13/20	9/21/23
HHW05500_m	HHW05	500_m	close	control	no	7/13/20	9/19/23
HHW06500_m	HHW06	500_m	close	mono	platygyra	7/13/20	9/25/23
HHW07500_m	HHW07	500_m	close	control	no	7/13/20	9/20/23
HHW08500_m	HHW08	500_m	close	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW10500_m	HHW10	500_m	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW11500_m	HHW11	500_m	middle	control	no	7/13/20	9/20/23
HHW13500_m	HHW13	500_m	middle	mono	platygyra	7/13/20	9/25/23
HHW14500_m	HHW14	500_m	middle	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW15500_m	HHW15	500_m	middle	poly	acroporapavonaplatygyra	7/13/20	9/19/23
HHW16500_m	HHW16	500_m	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW18500_m	HHW18	500_m	far	mono	acropora	7/13/20	9/25/23
HHW19500_m	HHW19	500_m	far	mono	pavona	7/13/20	9/27/23
HHW21500_m	HHW21	500_m	far	mono	pavona	7/13/20	9/27/23
HHW23500_m	HHW23	500_m	far	mix	acroporaplatygyra	7/13/20	9/28/23
HHW24500_m	HHW24	500_m	far	mono	platygyra	7/13/20	9/26/23
HHW02sessile	HHW02	sessile	close	mono	pavona	7/13/20	9/27/23
HHW03sessile	HHW03	sessile	close	mono	acropora	7/13/20	9/21/23
HHW04sessile	HHW04	sessile	close	mono	acropora	7/13/20	9/21/23
HHW05sessile	HHW05	sessile	close	control	no	7/13/20	9/19/23
HHW06sessile	HHW06	sessile	close	mono	platygyra	7/13/20	9/25/23
HHW07sessile	HHW07	sessile	close	control	no	7/13/20	9/20/23
HHW08sessile	HHW08	sessile	close	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW10sessile	HHW10	sessile	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW11sessile	HHW11	sessile	middle	control	no	7/13/20	9/20/23
HHW13sessile	HHW13	sessile	middle	mono	platygyra	7/13/20	9/25/23
HHW14sessile	HHW14	sessile	middle	poly	acroporapavonaplatygyra	7/13/20	9/18/23
HHW15sessile	HHW15	sessile	middle	poly	acroporapavonaplatygyra	7/13/20	9/19/23
HHW16sessile	HHW16	sessile	middle	mix	acroporaplatygyra	7/13/20	9/26/23
HHW18sessile	HHW18	sessile	far	mono	acropora	7/13/20	9/25/23
HHW19sessile	HHW19	sessile	far	mono	pavona	7/13/20	9/27/23
HHW21sessile	HHW21	sessile	far	mono	pavona	7/13/20	9/27/23
HHW23sessile	HHW23	sessile	far	mix	acroporaplatygyra	7/13/20	9/28/23
HHW24sessile	HHW24	sessile	far	mono	platygyra	7/13/20	9/26/23
